name,sp_Mn,mln_Mn,si_Mp,mln_Mp,si_Mn,sp_Mp,sp_Ame,pre_inj
Abcb1a1,1084997,883129,13024,34008,642270,33138,449455,500830
Abcb1a2,107435,98688,15329,17975,54035,13470,57444,78198
Abcb1b4,35807,36707,10470,17848,44472,27133,41402,27790
Abcb1b5,97245,49345,8608,22434,24325,64307,69409,89500
Ahr1,82736,29860,10387,47745,20344,35569,62918,50532
Ahr2,23185,7976,2364,6848,2732,19392,23015,16803
Ahr3,2395,2717,1157,5539,1147,6730,6159,31921
Ar1,3981,1782,3072,2317,872,3014,2361,7944
Ar2,4368,6699,1284,19049,691,3171,15133,42209
Ar3,10870,21927,15600,31194,11683,18658,31551,41672
Blimp-1,63346,47474,30856,56143,45005,62422,80337,40793
Cd19-1,404064,290861,228889,373402,160629,270894,323872,532017
Cd19-2,18458,6781,7051,13630,6019,28284,23251,19357
Cd19-3,133924,157286,24404,192842,23410,129052,161621,59062
Cd8a-1,48708,37399,14589,36180,26884,61250,57846,26194
Cd8a-2,30624,26939,4358,27018,1811,20549,23679,65734
Creb-2,16886,8755,6255,12513,8654,20209,19590,51481
Creb-3,169644,158242,78573,235061,78199,152163,204793,395108
Dmrta1-1,16656,10532,3713,12119,4461,13251,24140,44971
Dmrta1-2,60783,32898,11250,34733,51987,17350,53843,90629
Dmrta1-3,22982,5925,256,7986,3205,21990,18939,13617
Dmrta1-4,819684,565250,371922,319636,470862,444121,663344,77964
Dmrta1-5,16798,5539,61433,33141,43614,31711,5595,6765
Eomes1,21373,31487,13921,18049,12824,23137,21788,35196
Eomes2,21096,15099,16260,19124,14865,28067,20113,26376
Eomes3,2169,6923,6976,9217,4340,5855,7305,4355
Eomes4,45948,25544,12269,25110,10440,35624,50642,40927
Eomes5,99399,65343,47890,54578,50891,69113,88159,57821
Esr1-1,7500,3875,4908,2821,2301,5170,4877,21128
Esr1-2,3517,1679,48,436,4732,1606,1250,10555
Esr1-3,7426,6266,1822,1724,3961,3958,14269,18277
Esr2-1,219,640,1889,4588,605,5339,715,12928
Esr2-2,18971,17946,12054,17212,8249,24633,21873,12226
Esr2-3,56259,35506,13793,54492,4180,63702,69130,54496
Esrra1,4237,4894,171,7217,1399,3931,2531,15327
Esrra2,2632,215,518,1446,64,1026,146,5763
Esrra3,5321,171,685,1370,5487,889,4030,11933
Esrrb1,320,414,372,835,411,549,1661,5690
Esrrb2,1,4069,44,10463,107,3276,4122,28061
Esrrb3,12868,12018,27773,26332,26171,11913,27789,27820
Esrrb4,31873,23374,18314,38865,20048,33201,47387,47368
Esrrb5,4721,68,476,4791,337,5571,5257,3515
Esrrg1,360,1365,67,2046,2910,1270,2006,10657
Esrrg2,3136,1664,1399,4720,459,6296,7585,3664
Esrrg3,170043,370944,44317,174092,59984,124344,194346,218599
Esrrg4,5982,3921,11877,32756,2749,29116,37590,65085
Hnf4a1,2,255,4839,610,2526,1318,1053,5112
Hnf4a2,4759,4385,7173,6985,5625,8101,10429,24038
Hnf4a3,12966,2313,4469,8319,6618,4439,7352,6473
Hnf4a4,9118,5255,2689,8778,287,4655,16735,19680
Hnf4a5,4718,7428,1062,1469,385,29856,21698,7103
Hnf4g1,11943,8862,26086,13425,14554,14958,9972,16105
Hnf4g2,62304,74642,14946,82112,159144,66156,64785,62577
Hnf4g3,4343,3377,1153,9314,1258,3705,1971,12124
Hnf4g4,3023,1082,31,4699,3063,8335,12877,23130
Ncoa1-1,22013,23070,9609,34666,9058,22526,45245,102321
Ncoa1-2,1974,29,1375,85,1,813,461,3465
Ncoa1-3,4648,6065,1101,5970,3,14917,9128,31034
Ncoa1-4,24302,22219,11110,42607,16931,37990,42189,104176
Ncoa1-5,13579,6661,24181,20778,21152,18262,17344,10029
Ncoa2-1,3300,596,884,990,527,410,2937,3155
Ncoa2-2,4076,4361,204,479,806,3397,1806,17978
Ncoa2-3,3221,6083,734,11105,313,7318,4336,18420
Ncoa2-4,14835,12010,424,6491,4950,6843,4913,8397
Ncoa2-5,116892,92358,1650833,145154,409590,123312,150916,63904
Ncoa2-6,6282,735,128,4532,310,1766,1396,4025
Ncoa3-1,24166,13586,6333,13797,9427,22516,31663,8502
Ncoa3-2,6359,3196,896,6371,1681,3512,4482,2895
Ncoa3-3,7980,6718,4708,16605,4727,8351,7469,19897
Ncoa3-4,3889,5134,2,68,107,5450,12818,51547
Ncoa3-5,207478,249693,19056,138560,27360,74676,178511,76919
Ncoa4-1,14896,16033,4208,14484,6897,12939,12176,36943
Ncoa4-2,102328,81530,20533,90964,29261,63491,76242,129135
Ncoa4-3,74623,46249,13423,63335,40042,42475,42690,104042
Ncoa4-4,22858,19318,7761,42291,9902,38502,32634,32429
Ncoa4-5,5337,2148,1617,910,172,2896,8668,17138
Ncoa5-1,13468,4314,4576,6261,5892,8356,13845,6851
Ncoa5-2,13642,10592,4294,22154,6269,37135,30050,95981
Ncoa5-3,15395,13845,7645,19711,7446,17683,28815,51669
Ncoa6-2,77782,39878,52866,51762,69641,76830,75906,51419
Ncoa6-3,360349,783893,3569407,1640525,2887972,489697,554229,213069
Ncoa7-1,2035,3211,2807,2363,718,1036,4627,9085
Ncoa7-2,421618,349286,235801,750404,324090,404372,472881,255951
Ncoa7-3,8705,8625,7129,11522,8377,12716,9208,21743
Non-targeting-negative-control-#2-(RFP)-1,58263,12876,23952,52493,19617,21719,57019,70367
Non-targeting-negative-control-#4-(EGFP_881)-1,36697,10529,25734,17606,22997,34709,36058,13778
Non-targeting-negative-control-#5-(EGFP_1212)-2,191869,119144,75919,139308,55134,123798,146810,89967
Nr0b1-1,16347,21526,9971,48810,8392,15136,21491,5693
Nr0b1-2,17513,15206,10329,23109,10892,11849,16019,20049
Nr0b1-3,670,1582,3,47,0,260,1686,5419
Nr0b1-4,1574,354,53,596,1288,362,444,3670
Nr0b2-1,17765,5091,4291,5930,17560,12027,10864,22307
Nr0b2-2,27016,41183,7033,121906,8373,30504,85522,53102
Nr0b2-3,13182,8933,188,6867,1896,2111,2927,25014
Nr1d1-1,671,1630,441,6258,38,423,2219,391
Nr1d1-2,25962,14814,12775,37925,5333,49393,31587,123808
Nr1d1-3,178,1,12,176,0,880,4311,6352
Nr1d2-4,6033,3131,1840,5297,3414,2288,6159,11537
Nr1d2-5,28606,15314,4231,29404,14165,41332,40181,15585
