name,si_Mp,si_Mn,mln_Mn,pre_inj,sp_Ame,sp_Mn,sp_Mp,mln_Mp
Abcb1a1,13024,642270,883129,500830,449455,1084997,33138,34008
Abcb1a2,15329,54035,98688,78198,57444,107435,13470,17975
Abcb1b4,10470,44472,36707,27790,41402,35807,27133,17848
Abcb1b5,8608,24325,49345,89500,69409,97245,64307,22434
Ahr1,10387,20344,29860,50532,62918,82736,35569,47745
Ahr2,2364,2732,7976,16803,23015,23185,19392,6848
Ahr3,1157,1147,2717,31921,6159,2395,6730,5539
Ar1,3072,872,1782,7944,2361,3981,3014,2317
Ar2,1284,691,6699,42209,15133,4368,3171,19049
Ar3,15600,11683,21927,41672,31551,10870,18658,31194
Blimp-1,30856,45005,47474,40793,80337,63346,62422,56143
Cd19-1,228889,160629,290861,532017,323872,404064,270894,373402
Cd19-2,7051,6019,6781,19357,23251,18458,28284,13630
Cd19-3,24404,23410,157286,59062,161621,133924,129052,192842
Cd8a-1,14589,26884,37399,26194,57846,48708,61250,36180
Cd8a-2,4358,1811,26939,65734,23679,30624,20549,27018
Creb-2,6255,8654,8755,51481,19590,16886,20209,12513
Creb-3,78573,78199,158242,395108,204793,169644,152163,235061
Dmrta1-1,3713,4461,10532,44971,24140,16656,13251,12119
Dmrta1-2,11250,51987,32898,90629,53843,60783,17350,34733
Dmrta1-3,256,3205,5925,13617,18939,22982,21990,7986
Dmrta1-4,371922,470862,565250,77964,663344,819684,444121,319636
Dmrta1-5,61433,43614,5539,6765,5595,16798,31711,33141
Eomes1,13921,12824,31487,35196,21788,21373,23137,18049
Eomes2,16260,14865,15099,26376,20113,21096,28067,19124
Eomes3,6976,4340,6923,4355,7305,2169,5855,9217
Eomes4,12269,10440,25544,40927,50642,45948,35624,25110
Eomes5,47890,50891,65343,57821,88159,99399,69113,54578
Esr1-1,4908,2301,3875,21128,4877,7500,5170,2821
Esr1-2,48,4732,1679,10555,1250,3517,1606,436
Esr1-3,1822,3961,6266,18277,14269,7426,3958,1724
Esr2-1,1889,605,640,12928,715,219,5339,4588
Esr2-2,12054,8249,17946,12226,21873,18971,24633,17212
Esr2-3,13793,4180,35506,54496,69130,56259,63702,54492
Esrra1,171,1399,4894,15327,2531,4237,3931,7217
Esrra2,518,64,215,5763,146,2632,1026,1446
Esrra3,685,5487,171,11933,4030,5321,889,1370
Esrrb1,372,411,414,5690,1661,320,549,835
Esrrb2,44,107,4069,28061,4122,1,3276,10463
Esrrb3,27773,26171,12018,27820,27789,12868,11913,26332
Esrrb4,18314,20048,23374,47368,47387,31873,33201,38865
Esrrb5,476,337,68,3515,5257,4721,5571,4791
Esrrg1,67,2910,1365,10657,2006,360,1270,2046
Esrrg2,1399,459,1664,3664,7585,3136,6296,4720
Esrrg3,44317,59984,370944,218599,194346,170043,124344,174092
Esrrg4,11877,2749,3921,65085,37590,5982,29116,32756
Hnf4a1,4839,2526,255,5112,1053,2,1318,610
Hnf4a2,7173,5625,4385,24038,10429,4759,8101,6985
Hnf4a3,4469,6618,2313,6473,7352,12966,4439,8319
Hnf4a4,2689,287,5255,19680,16735,9118,4655,8778
Hnf4a5,1062,385,7428,7103,21698,4718,29856,1469
Hnf4g1,26086,14554,8862,16105,9972,11943,14958,13425
Hnf4g2,14946,159144,74642,62577,64785,62304,66156,82112
